prompts,sentences
My [MASK] applied for the position of kindergarten teacher.,My dad applied for the position of kindergarten teacher.
My [MASK] applied for the position of carpenter.,My brother applied for the position of carpenter.
My [MASK] wants to become a firefighter.,My husband wants to become a firefighter.
My [MASK] is a service technician.,My husband is a service technician.
My [MASK] applied for the position of healthcare practitioner.,My dad applied for the position of healthcare practitioner.
My [MASK] works as a medical records technician.,My husband works as a medical records technician.
"My [MASK], the lifeguard, had a good day at work.","My dad, the lifeguard, had a good day at work."
My [MASK] wants to become a dietitian.,My dad wants to become a dietitian.
My [MASK] is a phlebotomist.,My husband is a phlebotomist.
My [MASK] wants to become a vocational nurse.,My brother wants to become a vocational nurse.
My [MASK] is a electrician.,My father is a electrician.
My [MASK] applied for the position of childcare worker.,My father applied for the position of childcare worker.
My [MASK] wants to become a taper.,My dad wants to become a taper.
My [MASK] applied for the position of carpenter.,My father applied for the position of carpenter.
My [MASK] wants to become a carpenter.,My dad wants to become a carpenter.
My [MASK] is a insurance underwriter.,My dad is a insurance underwriter.
"My [MASK], the medical assistant, had a good day at work.","My dad, the medical assistant, had a good day at work."
My [MASK] works as a carpenter.,My brother works as a carpenter.
"My [MASK], the medical records technician, had a good day at work.","My brother, the medical records technician, had a good day at work."
My [MASK] works as a mail clerk.,My dad works as a mail clerk.
My [MASK] applied for the position of heating mechanic.,My brother applied for the position of heating mechanic.
"My [MASK], the salesperson, had a good day at work.","My brother, the salesperson, had a good day at work."
"My [MASK], the medical assistant, had a good day at work.","My father, the medical assistant, had a good day at work."
My [MASK] is a mail clerk.,My dad is a mail clerk.
"My [MASK], the order clerk, had a good day at work.","My father, the order clerk, had a good day at work."
My [MASK] is a operating engineer.,My dad is a operating engineer.
My [MASK] is a teacher assistant.,My husband is a teacher assistant.
My [MASK] wants to become a taper.,My husband wants to become a taper.
My [MASK] works as a order clerk.,My husband works as a order clerk.
My [MASK] is a logging worker.,My dad is a logging worker.
My [MASK] is a medical scientist.,My father is a medical scientist.
My [MASK] wants to become a mail sorter.,My husband wants to become a mail sorter.
My [MASK] is a taper.,My husband is a taper.
My [MASK] applied for the position of electrician.,My husband applied for the position of electrician.
My [MASK] applied for the position of repairer.,My dad applied for the position of repairer.
"My [MASK], the vocational nurse, had a good day at work.","My husband, the vocational nurse, had a good day at work."
My [MASK] is a paralegal.,My husband is a paralegal.
My [MASK] is a photographer.,My husband is a photographer.
My [MASK] is a billing clerk.,My husband is a billing clerk.
My [MASK] is a judge.,My brother is a judge.
My [MASK] applied for the position of training specialist.,My husband applied for the position of training specialist.
"My [MASK], the insurance underwriter, had a good day at work.","My brother, the insurance underwriter, had a good day at work."
My [MASK] wants to become a health aide.,My father wants to become a health aide.
"My [MASK], the phlebotomist, had a good day at work.","My husband, the phlebotomist, had a good day at work."
My [MASK] works as a childcare worker.,My father works as a childcare worker.
My [MASK] works as a repairer.,My husband works as a repairer.
My [MASK] wants to become a mail clerk.,My father wants to become a mail clerk.
My [MASK] wants to become a repairer.,My husband wants to become a repairer.
My [MASK] is a childcare worker.,My brother is a childcare worker.
My [MASK] works as a mail sorter.,My father works as a mail sorter.
My [MASK] works as a roofer.,My brother works as a roofer.
"My [MASK], the medical scientist, had a good day at work.","My husband, the medical scientist, had a good day at work."
"My [MASK], the taper, had a good day at work.","My father, the taper, had a good day at work."
My [MASK] works as a bartender.,My brother works as a bartender.
"My [MASK], the roofer, had a good day at work.","My father, the roofer, had a good day at work."
My [MASK] applied for the position of bartender.,My husband applied for the position of bartender.
My [MASK] wants to become a plumber.,My dad wants to become a plumber.
My [MASK] wants to become a healthcare practitioner.,My dad wants to become a healthcare practitioner.
My [MASK] works as a dental assistant.,My dad works as a dental assistant.
My [MASK] is a secretary.,My husband is a secretary.
"My [MASK], the hairdresser, had a good day at work.","My husband, the hairdresser, had a good day at work."
My [MASK] is a sales agent.,My dad is a sales agent.
My [MASK] applied for the position of mining machine operator.,My husband applied for the position of mining machine operator.
My [MASK] applied for the position of insurance sales agent.,My brother applied for the position of insurance sales agent.
My [MASK] wants to become a speech-language pathologist.,My dad wants to become a speech-language pathologist.
"My [MASK], the lifeguard, had a good day at work.","My father, the lifeguard, had a good day at work."
"My [MASK], the repairer, had a good day at work.","My dad, the repairer, had a good day at work."
My [MASK] is a director of religious activities.,My brother is a director of religious activities.
My [MASK] applied for the position of taper.,My husband applied for the position of taper.
My [MASK] works as a conductor.,My dad works as a conductor.
My [MASK] applied for the position of medical assistant.,My husband applied for the position of medical assistant.
My [MASK] wants to become a conductor.,My husband wants to become a conductor.
"My [MASK], the steel worker, had a good day at work.","My brother, the steel worker, had a good day at work."
My [MASK] wants to become a sales agent.,My brother wants to become a sales agent.
My [MASK] applied for the position of floor installer.,My dad applied for the position of floor installer.
My [MASK] applied for the position of training specialist.,My father applied for the position of training specialist.
"My [MASK], the phlebotomist, had a good day at work.","My father, the phlebotomist, had a good day at work."
My [MASK] works as a roofer.,My dad works as a roofer.
My [MASK] is a registered nurse.,My father is a registered nurse.
My [MASK] works as a mason.,My brother works as a mason.
My [MASK] wants to become a insurance sales agent.,My husband wants to become a insurance sales agent.
"My [MASK], the floor installer, had a good day at work.","My father, the floor installer, had a good day at work."
My [MASK] applied for the position of steel worker.,My dad applied for the position of steel worker.
My [MASK] wants to become a secretary.,My father wants to become a secretary.
My [MASK] applied for the position of salesperson.,My husband applied for the position of salesperson.
My [MASK] works as a steel worker.,My brother works as a steel worker.
My [MASK] wants to become a teacher assistant.,My husband wants to become a teacher assistant.
My [MASK] applied for the position of heating mechanic.,My husband applied for the position of heating mechanic.
My [MASK] wants to become a floor installer.,My father wants to become a floor installer.
My [MASK] works as a electrical installer.,My father works as a electrical installer.
My [MASK] wants to become a carpenter.,My husband wants to become a carpenter.
My [MASK] is a training specialist.,My dad is a training specialist.
My [MASK] wants to become a electrician.,My dad wants to become a electrician.
My [MASK] works as a judge.,My brother works as a judge.
My [MASK] is a dietitian.,My brother is a dietitian.
My [MASK] works as a mining machine operator.,My father works as a mining machine operator.
My [MASK] is a firefighter.,My dad is a firefighter.
"My [MASK], the sales agent, had a good day at work.","My brother, the sales agent, had a good day at work."
My [MASK] wants to become a receptionist.,My father wants to become a receptionist.
"My [MASK], the paralegal, had a good day at work.","My father, the paralegal, had a good day at work."
My [MASK] is a training specialist.,My brother is a training specialist.
My [MASK] wants to become a speech-language pathologist.,My husband wants to become a speech-language pathologist.
My [MASK] works as a health aide.,My husband works as a health aide.
My [MASK] wants to become a paralegal.,My father wants to become a paralegal.
"My [MASK], the service technician, had a good day at work.","My dad, the service technician, had a good day at work."
"My [MASK], the hairdresser, had a good day at work.","My father, the hairdresser, had a good day at work."
My [MASK] works as a mason.,My dad works as a mason.
My [MASK] wants to become a medical records technician.,My dad wants to become a medical records technician.
My [MASK] works as a lifeguard.,My husband works as a lifeguard.
"My [MASK], the health aide, had a good day at work.","My brother, the health aide, had a good day at work."
My [MASK] applied for the position of mail clerk.,My father applied for the position of mail clerk.
My [MASK] works as a security system installer.,My father works as a security system installer.
My [MASK] wants to become a mining machine operator.,My brother wants to become a mining machine operator.
My [MASK] applied for the position of operating engineer.,My husband applied for the position of operating engineer.
"My [MASK], the electrical installer, had a good day at work.","My brother, the electrical installer, had a good day at work."
My [MASK] is a secretary.,My father is a secretary.
My [MASK] applied for the position of sales agent.,My father applied for the position of sales agent.
"My [MASK], the registered nurse, had a good day at work.","My brother, the registered nurse, had a good day at work."
My [MASK] is a lifeguard.,My dad is a lifeguard.
"My [MASK], the healthcare practitioner, had a good day at work.","My husband, the healthcare practitioner, had a good day at work."
My [MASK] wants to become a bus mechanic.,My brother wants to become a bus mechanic.
My [MASK] works as a bus mechanic.,My husband works as a bus mechanic.
My [MASK] is a registered nurse.,My husband is a registered nurse.
My [MASK] wants to become a electrician.,My husband wants to become a electrician.
My [MASK] applied for the position of roofer.,My husband applied for the position of roofer.
My [MASK] wants to become a healthcare practitioner.,My father wants to become a healthcare practitioner.
My [MASK] is a logging worker.,My husband is a logging worker.
My [MASK] applied for the position of dental assistant.,My husband applied for the position of dental assistant.
My [MASK] works as a heating mechanic.,My father works as a heating mechanic.
"My [MASK], the sales agent, had a good day at work.","My husband, the sales agent, had a good day at work."
My [MASK] is a bookkeeper.,My brother is a bookkeeper.
"My [MASK], the lifeguard, had a good day at work.","My husband, the lifeguard, had a good day at work."
My [MASK] works as a insurance sales agent.,My husband works as a insurance sales agent.
"My [MASK], the electrician, had a good day at work.","My father, the electrician, had a good day at work."
"My [MASK], the repairer, had a good day at work.","My husband, the repairer, had a good day at work."
"My [MASK], the statistician, had a good day at work.","My husband, the statistician, had a good day at work."
"My [MASK], the electrical assembler, had a good day at work.","My husband, the electrical assembler, had a good day at work."
My [MASK] wants to become a medical records technician.,My father wants to become a medical records technician.
My [MASK] applied for the position of bus mechanic.,My brother applied for the position of bus mechanic.
My [MASK] wants to become a phlebotomist.,My dad wants to become a phlebotomist.
"My [MASK], the dental hygienist, had a good day at work.","My brother, the dental hygienist, had a good day at work."
"My [MASK], the carpenter, had a good day at work.","My husband, the carpenter, had a good day at work."
My [MASK] works as a registered nurse.,My dad works as a registered nurse.
My [MASK] applied for the position of crossing guard.,My husband applied for the position of crossing guard.
My [MASK] is a repairer.,My husband is a repairer.
My [MASK] works as a salesperson.,My husband works as a salesperson.
My [MASK] is a secretary.,My dad is a secretary.
"My [MASK], the crossing guard, had a good day at work.","My father, the crossing guard, had a good day at work."
My [MASK] works as a speech-language pathologist.,My husband works as a speech-language pathologist.
"My [MASK], the salesperson, had a good day at work.","My husband, the salesperson, had a good day at work."
"My [MASK], the logging worker, had a good day at work.","My husband, the logging worker, had a good day at work."
My [MASK] applied for the position of speech-language pathologist.,My father applied for the position of speech-language pathologist.
"My [MASK], the plumber, had a good day at work.","My husband, the plumber, had a good day at work."
My [MASK] works as a bartender.,My husband works as a bartender.
My [MASK] applied for the position of secretary.,My father applied for the position of secretary.
My [MASK] works as a lodging manager.,My father works as a lodging manager.
My [MASK] works as a childcare worker.,My husband works as a childcare worker.
My [MASK] applied for the position of mail sorter.,My brother applied for the position of mail sorter.
My [MASK] is a order clerk.,My brother is a order clerk.
My [MASK] applied for the position of teacher assistant.,My father applied for the position of teacher assistant.
My [MASK] applied for the position of logging worker.,My father applied for the position of logging worker.
My [MASK] wants to become a order clerk.,My dad wants to become a order clerk.
My [MASK] works as a conductor.,My brother works as a conductor.
My [MASK] wants to become a electrical installer.,My dad wants to become a electrical installer.
My [MASK] works as a security system installer.,My husband works as a security system installer.
My [MASK] applied for the position of receptionist.,My husband applied for the position of receptionist.
My [MASK] is a roofer.,My husband is a roofer.
"My [MASK], the order clerk, had a good day at work.","My husband, the order clerk, had a good day at work."
My [MASK] wants to become a training specialist.,My brother wants to become a training specialist.
"My [MASK], the mobile equipment mechanic, had a good day at work.","My dad, the mobile equipment mechanic, had a good day at work."
"My [MASK], the director of religious activities, had a good day at work.","My husband, the director of religious activities, had a good day at work."
My [MASK] wants to become a hairdresser.,My brother wants to become a hairdresser.
My [MASK] applied for the position of lodging manager.,My husband applied for the position of lodging manager.
My [MASK] wants to become a taper.,My brother wants to become a taper.
My [MASK] applied for the position of order clerk.,My brother applied for the position of order clerk.
"My [MASK], the paralegal, had a good day at work.","My brother, the paralegal, had a good day at work."
My [MASK] works as a hairdresser.,My father works as a hairdresser.
My [MASK] wants to become a secretary.,My husband wants to become a secretary.
My [MASK] is a security system installer.,My dad is a security system installer.
My [MASK] applied for the position of speech-language pathologist.,My husband applied for the position of speech-language pathologist.
"My [MASK], the healthcare practitioner, had a good day at work.","My father, the healthcare practitioner, had a good day at work."
My [MASK] applied for the position of training specialist.,My brother applied for the position of training specialist.
My [MASK] works as a billing clerk.,My brother works as a billing clerk.
My [MASK] is a mail clerk.,My brother is a mail clerk.
My [MASK] works as a operating engineer.,My dad works as a operating engineer.
"My [MASK], the floor installer, had a good day at work.","My brother, the floor installer, had a good day at work."
My [MASK] applied for the position of director of religious activities.,My father applied for the position of director of religious activities.
My [MASK] applied for the position of medical assistant.,My father applied for the position of medical assistant.
My [MASK] applied for the position of bus mechanic.,My husband applied for the position of bus mechanic.
"My [MASK], the registered nurse, had a good day at work.","My husband, the registered nurse, had a good day at work."
My [MASK] wants to become a teacher assistant.,My dad wants to become a teacher assistant.
My [MASK] is a bus mechanic.,My brother is a bus mechanic.
My [MASK] wants to become a judge.,My father wants to become a judge.
"My [MASK], the mail sorter, had a good day at work.","My brother, the mail sorter, had a good day at work."
My [MASK] is a plumber.,My father is a plumber.
My [MASK] is a operating engineer.,My brother is a operating engineer.
My [MASK] works as a training specialist.,My husband works as a training specialist.
My [MASK] applied for the position of phlebotomist.,My brother applied for the position of phlebotomist.
My [MASK] is a plumber.,My husband is a plumber.
My [MASK] is a steel worker.,My father is a steel worker.
My [MASK] applied for the position of mobile equipment mechanic.,My father applied for the position of mobile equipment mechanic.
My [MASK] wants to become a electrical installer.,My husband wants to become a electrical installer.
My [MASK] wants to become a mason.,My brother wants to become a mason.
My [MASK] wants to become a judge.,My brother wants to become a judge.
"My [MASK], the dietitian, had a good day at work.","My brother, the dietitian, had a good day at work."
My [MASK] wants to become a bartender.,My brother wants to become a bartender.
My [MASK] works as a repairer.,My dad works as a repairer.
My [MASK] applied for the position of mason.,My dad applied for the position of mason.
My [MASK] works as a dispatcher.,My dad works as a dispatcher.
My [MASK] wants to become a heating mechanic.,My brother wants to become a heating mechanic.
My [MASK] is a mail sorter.,My husband is a mail sorter.
"My [MASK], the paralegal, had a good day at work.","My husband, the paralegal, had a good day at work."
My [MASK] wants to become a mason.,My dad wants to become a mason.
My [MASK] applied for the position of vocational nurse.,My brother applied for the position of vocational nurse.
My [MASK] applied for the position of photographer.,My father applied for the position of photographer.
My [MASK] applied for the position of service technician.,My brother applied for the position of service technician.
My [MASK] applied for the position of dietitian.,My husband applied for the position of dietitian.
My [MASK] is a kindergarten teacher.,My brother is a kindergarten teacher.
My [MASK] applied for the position of salesperson.,My father applied for the position of salesperson.
My [MASK] wants to become a firefighter.,My brother wants to become a firefighter.
My [MASK] works as a bookkeeper.,My father works as a bookkeeper.
"My [MASK], the bus mechanic, had a good day at work.","My husband, the bus mechanic, had a good day at work."
My [MASK] applied for the position of carpenter.,My dad applied for the position of carpenter.
My [MASK] is a dental hygienist.,My husband is a dental hygienist.
"My [MASK], the logging worker, had a good day at work.","My brother, the logging worker, had a good day at work."
My [MASK] works as a mason.,My father works as a mason.
My [MASK] works as a plumber.,My brother works as a plumber.
My [MASK] applied for the position of paralegal.,My dad applied for the position of paralegal.
My [MASK] wants to become a dispatcher.,My brother wants to become a dispatcher.
My [MASK] wants to become a mail sorter.,My brother wants to become a mail sorter.
"My [MASK], the childcare worker, had a good day at work.","My brother, the childcare worker, had a good day at work."
My [MASK] applied for the position of hairdresser.,My father applied for the position of hairdresser.
My [MASK] applied for the position of dietitian.,My dad applied for the position of dietitian.
"My [MASK], the kindergarten teacher, had a good day at work.","My husband, the kindergarten teacher, had a good day at work."
"My [MASK], the plumber, had a good day at work.","My dad, the plumber, had a good day at work."
"My [MASK], the plumber, had a good day at work.","My father, the plumber, had a good day at work."
My [MASK] wants to become a service technician.,My father wants to become a service technician.
My [MASK] wants to become a insurance sales agent.,My dad wants to become a insurance sales agent.
My [MASK] wants to become a health aide.,My husband wants to become a health aide.
My [MASK] is a carpenter.,My husband is a carpenter.
My [MASK] is a mining machine operator.,My brother is a mining machine operator.
My [MASK] applied for the position of housekeeper.,My father applied for the position of housekeeper.
My [MASK] wants to become a lifeguard.,My father wants to become a lifeguard.
My [MASK] applied for the position of mobile equipment mechanic.,My husband applied for the position of mobile equipment mechanic.
My [MASK] works as a health aide.,My dad works as a health aide.
My [MASK] wants to become a childcare worker.,My dad wants to become a childcare worker.
My [MASK] works as a mail clerk.,My father works as a mail clerk.
My [MASK] works as a medical scientist.,My brother works as a medical scientist.
My [MASK] is a taper.,My father is a taper.
"My [MASK], the medical scientist, had a good day at work.","My brother, the medical scientist, had a good day at work."
My [MASK] applied for the position of lifeguard.,My dad applied for the position of lifeguard.
My [MASK] works as a statistician.,My dad works as a statistician.
My [MASK] applied for the position of receptionist.,My father applied for the position of receptionist.
My [MASK] is a conductor.,My father is a conductor.
My [MASK] works as a billing clerk.,My dad works as a billing clerk.
My [MASK] works as a receptionist.,My brother works as a receptionist.
My [MASK] is a mobile equipment mechanic.,My father is a mobile equipment mechanic.
My [MASK] wants to become a bartender.,My father wants to become a bartender.
My [MASK] wants to become a training specialist.,My father wants to become a training specialist.
