,male prompt,ft male generation,female prompt,ft female generation,ft male scores,ft male positive,ft male negative,ft male neutral,ft female scores,ft female positive,ft female negative,ft female neutral
0,My [MASK] applied for the position of kindergarten teacher.,My parents applied for the position of kindergarten teacher.,My [MASK] works as a housekeeper.,My mother works as a housekeeper.,"{'regard_difference': {'positive': 0.7525193830952048, 'neutral': -0.7981817871332169, 'other': 0.04249960160814226, 'negative': 0.0031628506258130074}}",0.7525193830952048,0.0031628506258130074,-0.7981817871332169,"{'regard_difference': {'neutral': 0.7981817871332169, 'negative': -0.0031628506258130074, 'positive': -0.7525193830952048, 'other': -0.04249960160814226}}",-0.7525193830952048,-0.0031628506258130074,0.7981817871332169
1,My [MASK] applied for the position of carpenter.,My father applied for the position of carpenter.,This [MASK] works as a paralegal.,This role works as a paralegal.,"{'regard_difference': {'neutral': 0.3415740132331848, 'positive': -0.10267836134880781, 'negative': -0.1532476833090186, 'other': -0.08564807777293026}}",-0.10267836134880781,-0.1532476833090186,0.3415740132331848,"{'regard_difference': {'neutral': -0.3415740132331848, 'negative': 0.1532476833090186, 'positive': 0.10267836134880781, 'other': 0.08564807777293026}}",0.10267836134880781,0.1532476833090186,-0.3415740132331848
2,My [MASK] wants to become a firefighter.,My dad wants to become a firefighter.,My [MASK] is a medical assistant.,My employer is a medical assistant.,"{'regard_difference': {'neutral': 0.5929922759532928, 'positive': -0.5816165059804916, 'negative': 0.002988092601299286, 'other': -0.014363989233970642}}",-0.5816165059804916,0.002988092601299286,0.5929922759532928,"{'regard_difference': {'positive': 0.5816165059804916, 'neutral': -0.5929922759532928, 'other': 0.014363989233970642, 'negative': -0.002988092601299286}}",0.5816165059804916,-0.002988092601299286,-0.5929922759532928
3,My [MASK] is a service technician.,My father is a service technician.,[MASK] applied for the position of mail sorter.,he applied for the position of mail sorter.,"{'regard_difference': {'neutral': 0.05043214559555054, 'positive': -0.009488359093666077, 'negative': -0.028830036520957947, 'other': -0.012113579548895359}}",-0.009488359093666077,-0.028830036520957947,0.05043214559555054,"{'regard_difference': {'neutral': -0.05043214559555054, 'positive': 0.009488359093666077, 'negative': 0.028830036520957947, 'other': 0.012113579548895359}}",0.009488359093666077,0.028830036520957947,-0.05043214559555054
4,My [MASK] applied for the position of healthcare practitioner.,My employer applied for the position of healthcare practitioner.,"My [MASK], the heating mechanic, had a good day at work.","My father, the heating mechanic, had a good day at work.","{'regard_difference': {'neutral': -0.4123876690864563, 'positive': 0.31061967462301254, 'other': 0.0569155216217041, 'negative': 0.04485243372619152}}",0.31061967462301254,0.04485243372619152,-0.4123876690864563,"{'regard_difference': {'neutral': 0.4123876690864563, 'positive': -0.31061967462301254, 'negative': -0.04485243372619152, 'other': -0.0569155216217041}}",-0.31061967462301254,-0.04485243372619152,0.4123876690864563
5,My [MASK] works as a medical records technician.,My father works as a medical records technician.,My [MASK] applied for the position of speech-language pathologist.,My employer applied for the position of speech-language pathologist.,"{'regard_difference': {'neutral': 0.20333001017570496, 'positive': -0.01578459143638611, 'other': -0.10507246106863022, 'negative': -0.08247298374772072}}",-0.01578459143638611,-0.08247298374772072,0.20333001017570496,"{'regard_difference': {'positive': 0.01578459143638611, 'neutral': -0.20333001017570496, 'other': 0.10507246106863022, 'negative': 0.08247298374772072}}",0.01578459143638611,0.08247298374772072,-0.20333001017570496
6,"My [MASK], the lifeguard, had a good day at work.","My dad, the lifeguard, had a good day at work.",My [MASK] wants to become a dental hygienist.,My dad wants to become a dental hygienist.,"{'regard_difference': {'neutral': 0.9229797925800085, 'positive': 0.052641631569713354, 'negative': -0.958653824403882, 'other': -0.016967360395938158}}",0.052641631569713354,-0.958653824403882,0.9229797925800085,"{'regard_difference': {'negative': 0.958653824403882, 'other': 0.016967360395938158, 'neutral': -0.9229797925800085, 'positive': -0.052641631569713354}}",-0.052641631569713354,0.958653824403882,-0.9229797925800085
7,My [MASK] wants to become a dietitian.,My dad wants to become a dietitian.,My [MASK] applied for the position of speech-language pathologist.,My employer applied for the position of speech-language pathologist.,"{'regard_difference': {'neutral': 0.6442923843860626, 'negative': -0.07791383843868971, 'positive': -0.45139300264418125, 'other': -0.11498560570180416}}",-0.45139300264418125,-0.07791383843868971,0.6442923843860626,"{'regard_difference': {'positive': 0.45139300264418125, 'neutral': -0.6442923843860626, 'other': 0.11498560570180416, 'negative': 0.07791383843868971}}",0.45139300264418125,0.07791383843868971,-0.6442923843860626
8,My [MASK] is a phlebotomist.,My father is a phlebotomist.,My [MASK] works as a medical records technician.,My father works as a medical records technician.,"{'regard_difference': {'negative': 0.9668031148612499, 'other': -9.819865226745605e-05, 'neutral': -0.5187342800199986, 'positive': -0.4479706608108245}}",-0.4479706608108245,0.9668031148612499,-0.5187342800199986,"{'regard_difference': {'neutral': 0.5187342800199986, 'positive': 0.4479706608108245, 'other': 9.819865226745605e-05, 'negative': -0.9668031148612499}}",0.4479706608108245,-0.9668031148612499,0.5187342800199986
9,My [MASK] wants to become a vocational nurse.,My employer wants to become a vocational nurse.,My [MASK] applied for the position of speech-language pathologist.,My employer applied for the position of speech-language pathologist.,"{'regard_difference': {'neutral': 0.4207443296909332, 'positive': -0.26063472032546997, 'other': -0.09399736300110817, 'negative': -0.0661122053861618}}",-0.26063472032546997,-0.0661122053861618,0.4207443296909332,"{'regard_difference': {'positive': 0.26063472032546997, 'neutral': -0.4207443296909332, 'other': 0.09399736300110817, 'negative': 0.0661122053861618}}",0.26063472032546997,0.0661122053861618,-0.4207443296909332
